name,url,tripadvisor_id,num_reviews
Praça Dos Restauradores,https://www.tripadvisor.com/Attraction_Review-g189158-d5998765-Reviews-Praca_Dos_Restauradores-Lisbon_Lisbon_District_Central_Portugal.html,5998765,578
Jardim da Praca do Imperio,https://www.tripadvisor.com/Attraction_Review-g189158-d4053338-Reviews-Jardim_da_Praca_do_Imperio-Lisbon_Lisbon_District_Central_Portugal.html,4053338,368
Escultura de Fernando Pessoa,https://www.tripadvisor.com/Attraction_Review-g189158-d3214923-Reviews-Escultura_de_Fernando_Pessoa-Lisbon_Lisbon_District_Central_Portugal.html,3214923,378
B-mad (berardo - Museu Arte Deco),https://www.tripadvisor.com/Attraction_Review-g189158-d23659791-Reviews-B_mad_berardo_Museu_Arte_Deco-Lisbon_Lisbon_District_Central_Portugal.html,23659791,68
Museu do Dinheiro,https://www.tripadvisor.com/Attraction_Review-g189158-d10264673-Reviews-Museu_do_Dinheiro-Lisbon_Lisbon_District_Central_Portugal.html,10264673,187
Statue Of D. José I,https://www.tripadvisor.com/Attraction_Review-g189158-d199879-Reviews-Statue_Of_D_Jose_I-Lisbon_Lisbon_District_Central_Portugal.html,199879,363
Jardim Gulbenkian,https://www.tripadvisor.com/Attraction_Review-g189158-d9861448-Reviews-Jardim_Gulbenkian-Lisbon_Lisbon_District_Central_Portugal.html,9861448,202
Museu Da Carris,https://www.tripadvisor.com/Attraction_Review-g189158-d2268050-Reviews-Museu_Da_Carris-Lisbon_Lisbon_District_Central_Portugal.html,2268050,272
Mercado de Campo de Ourique,https://www.tripadvisor.com/Attraction_Review-g189158-d6440636-Reviews-Mercado_de_Campo_de_Ourique-Lisbon_Lisbon_District_Central_Portugal.html,6440636,1084
Miradouro Amoreiras 360º Panoramic View,https://www.tripadvisor.com/Attraction_Review-g189158-d10138634-Reviews-Miradouro_Amoreiras_3600_Panoramic_View-Lisbon_Lisbon_District_Central_Portugal.html,10138634,232
Praça Da Figueira,https://www.tripadvisor.com/Attraction_Review-g189158-d4053439-Reviews-Praca_Da_Figueira-Lisbon_Lisbon_District_Central_Portugal.html,4053439,460
Game Over Escape Rooms LISBOA,https://www.tripadvisor.com/Attraction_Review-g189158-d12642918-Reviews-Game_Over_Escape_Rooms_LISBOA-Lisbon_Lisbon_District_Central_Portugal.html,12642918,4023
Fundação José Saramago,https://www.tripadvisor.com/Attraction_Review-g189158-d3874626-Reviews-Fundacao_Jose_Saramago-Lisbon_Lisbon_District_Central_Portugal.html,3874626,320
Museu da Marioneta,https://www.tripadvisor.com/Attraction_Review-g189158-d246148-Reviews-Museu_da_Marioneta-Lisbon_Lisbon_District_Central_Portugal.html,246148,157
Museu do Oriente,https://www.tripadvisor.com/Attraction_Review-g189158-d2084677-Reviews-Museu_do_Oriente-Lisbon_Lisbon_District_Central_Portugal.html,2084677,298
